number of objectives,solver,mean,std,rank
4,IHS,0.8671475466666667,0.043514611486102,6.0
4,MHACO,0.8730046800000001,0.03793191963875282,5.0
4,MOEA/D-DE,0.8757701200000001,0.03870830604358745,4.0
4,NS-BRKGA,0.9151749800000001,0.04515878654623545,2.0
4,NSGA-II,0.9257371333333333,0.04500940169954758,1.0
4,NSPSO,0.8949148533333332,0.04111565518322839,3.0
